,0
0,1705493537.9750178
1,1705493538.007832
2,1705493538.0406613
3,1705493538.0734904
4,1705493538.1063046
5,1705493538.1391337
6,1705493538.171948
7,1705493538.2047622
8,1705493538.2376063
9,1705493538.27045
10,1705493538.3032794
11,1705493538.3360937
12,1705493538.3689227
13,1705493538.4017668
14,1705493538.434596
15,1705493538.46741
16,1705493538.5002394
17,1705493538.5330832
18,1705493538.5658975
19,1705493538.5987117
20,1705493538.6315408
21,1705493538.6643848
22,1705493538.697214
23,1705493538.7300432
24,1705493538.7628722
25,1705493538.795716
26,1705493538.828545
27,1705493538.8613744
28,1705493538.8942182
29,1705493538.927077
30,1705493538.959906
31,1705493538.9927351
32,1705493539.0255644
33,1705493539.058423
34,1705493539.091267
35,1705493539.1240962
36,1705493539.1569252
37,1705493539.189784
38,1705493539.222613
39,1705493539.2554421
40,1705493539.2882862
41,1705493539.32113
42,1705493539.353974
43,1705493539.3868032
44,1705493539.4196322
45,1705493539.4524763
46,1705493539.4853349
47,1705493539.518164
48,1705493539.5509932
49,1705493539.5838373
50,1705493539.616681
51,1705493539.6495101
52,1705493539.6823392
53,1705493539.7151833
54,1705493539.7480419
55,1705493539.780886
56,1705493539.813715
57,1705493539.846559
58,1705493539.8794324
59,1705493539.9122615
60,1705493539.9451056
61,1705493539.9779494
62,1705493540.0108082
63,1705493540.0436373
64,1705493540.0764663
65,1705493540.1092956
66,1705493540.1421542
67,1705493540.1749835
68,1705493540.2078125
69,1705493540.2406564
70,1705493540.2735004
71,1705493540.3063443
72,1705493540.3391733
73,1705493540.3720174
74,1705493540.4048612
75,1705493540.4376903
76,1705493540.4705195
77,1705493540.5033486
78,1705493540.5361779
79,1705493540.569007
80,1705493540.6018212
81,1705493540.6346502
82,1705493540.6674795
83,1705493540.7003233
84,1705493540.7331376
85,1705493540.7659667
86,1705493540.798796
87,1705493540.8316548
88,1705493540.8644838
89,1705493540.897298
90,1705493540.9301271
91,1705493540.9629712
92,1705493540.9958003
93,1705493541.0286295
94,1705493541.0614731
95,1705493541.0943172
96,1705493541.1271462
97,1705493541.1599755
98,1705493541.1928194
99,1705493541.2256634
100,1705493541.2584925
101,1705493541.2913215
102,1705493541.3241506
103,1705493541.3569946
104,1705493541.3898237
105,1705493541.422638
106,1705493541.455482
107,1705493541.4883258
108,1705493541.521155
109,1705493541.5539842
110,1705493541.5868132
111,1705493541.619657
112,1705493541.6524863
113,1705493541.6853006
114,1705493541.7181444
115,1705493541.750959
116,1705493541.7838027
117,1705493541.8166318
118,1705493541.8494608
119,1705493541.882305
120,1705493541.915149
121,1705493541.9479778
122,1705493541.980807
123,1705493542.013636
124,1705493542.0464802
125,1705493542.0793092
126,1705493542.1121383
127,1705493542.1449823
128,1705493542.177841
129,1705493542.2106555
130,1705493542.2434845
131,1705493542.2763135
132,1705493542.3091576
133,1705493542.3419867
134,1705493542.3748157
135,1705493542.4076447
136,1705493542.4404888
137,1705493542.473303
138,1705493542.5061321
139,1705493542.5389612
140,1705493542.5718052
141,1705493542.6046047
142,1705493542.637419
143,1705493542.670248
144,1705493542.703092
145,1705493542.7359211
146,1705493542.7687354
147,1705493542.8015647
148,1705493542.8344233
149,1705493542.8672376
150,1705493542.9000666
151,1705493542.932896
152,1705493542.9657102
153,1705493542.9985394
154,1705493543.0313685
155,1705493543.0641975
156,1705493543.0970266
157,1705493543.1298707
158,1705493543.1626997
159,1705493543.195514
160,1705493543.228343
161,1705493543.2611723
162,1705493543.2940013
163,1705493543.3268156
164,1705493543.3596299
165,1705493543.392474
166,1705493543.4252882
167,1705493543.4581172
168,1705493543.4909465
169,1705493543.5238051
170,1705493543.5566194
171,1705493543.5894487
172,1705493543.6222777
173,1705493543.6551363
174,1705493543.6879656
175,1705493543.7207947
176,1705493543.7536385
177,1705493543.7864826
178,1705493543.8193116
179,1705493543.852126
180,1705493543.8849552
181,1705493543.917799
182,1705493543.9506283
183,1705493543.9834573
184,1705493544.0163012
185,1705493544.0491452
186,1705493544.0819743
187,1705493544.1148033
188,1705493544.1476474
189,1705493544.1804764
190,1705493544.2133055
191,1705493544.2461345
192,1705493544.2789638
193,1705493544.3118079
194,1705493544.3446665
195,1705493544.3774807
196,1705493544.41031
197,1705493544.4431539
198,1705493544.4760125
199,1705493544.5088415
200,1705493544.5416708
201,1705493544.5744998
202,1705493544.6073587
203,1705493544.6401877
204,1705493544.6730168
205,1705493544.7058609
206,1705493544.7387195
207,1705493544.7715633
208,1705493544.8043778
209,1705493544.8372219
210,1705493544.8700805
211,1705493544.9029095
212,1705493544.9357386
213,1705493544.9685826
214,1705493545.0014265
215,1705493545.0342555
216,1705493545.0670848
217,1705493545.0999286
218,1705493545.1327727
219,1705493545.1656017
220,1705493545.1984308
221,1705493545.231275
222,1705493545.2641337
223,1705493545.2969627
224,1705493545.3298066
225,1705493545.3626356
226,1705493545.395465
227,1705493545.428294
228,1705493545.461123
229,1705493545.493952
230,1705493545.526796
231,1705493545.5596547
232,1705493545.5924988
233,1705493545.6253278
234,1705493545.6581569
235,1705493545.6910157
236,1705493545.723845
237,1705493545.756674
238,1705493545.789503
239,1705493545.822347
240,1705493545.8551762
241,1705493545.8880053
242,1705493545.9208493
243,1705493545.9536932
244,1705493545.9865222
245,1705493546.0193512
246,1705493546.0521953
247,1705493546.085054
248,1705493546.117898
249,1705493546.150727
250,1705493546.1835563
251,1705493546.216415
252,1705493546.2492442
253,1705493546.282088
254,1705493546.314917
255,1705493546.3477757
256,1705493546.380605
257,1705493546.4134343
258,1705493546.4462633
259,1705493546.479122
260,1705493546.5119362
261,1705493546.5447655
262,1705493546.5776093
263,1705493546.6104236
264,1705493546.6432526
265,1705493546.676082
266,1705493546.708911
267,1705493546.74174
268,1705493546.7745988
269,1705493546.807413
270,1705493546.8402421
271,1705493546.8730712
272,1705493546.9059153
273,1705493546.9387443
274,1705493546.9715736
275,1705493547.0044026
276,1705493547.0372612
277,1705493547.0700905
278,1705493547.1029048
279,1705493547.1357338
280,1705493547.1685927
281,1705493547.2014217
282,1705493547.2342362
283,1705493547.267065
284,1705493547.299924
285,1705493547.332753
286,1705493547.3655822
287,1705493547.3984115
288,1705493547.431255
289,1705493547.4640844
290,1705493547.4969134
291,1705493547.5297425
292,1705493547.5625865
293,1705493547.5954156
294,1705493547.6282299
295,1705493547.661074
296,1705493547.6939328
297,1705493547.7267468
298,1705493547.759576
299,1705493547.7924051
300,1705493547.8252342
301,1705493547.8580635
302,1705493547.8908925
303,1705493547.9237218
304,1705493547.9565654
305,1705493547.9894094
306,1705493548.0222385
307,1705493548.0550678
308,1705493548.0879116
309,1705493548.1207554
310,1705493548.1535847
311,1705493548.1864138
312,1705493548.219243
313,1705493548.2520869
314,1705493548.284916
315,1705493548.317745
316,1705493548.350589
317,1705493548.3834329
318,1705493548.416262
319,1705493548.4490912
320,1705493548.4819202
321,1705493548.514779
322,1705493548.5475934
323,1705493548.5804226
324,1705493548.6132517
325,1705493548.6460955
326,1705493548.6789246
327,1705493548.7117388
328,1705493548.744583
329,1705493548.7774267
330,1705493548.810256
331,1705493548.8430703
332,1705493548.8758993
333,1705493548.908758
334,1705493548.9415724
335,1705493548.9744015
