,0
0,1705493537.9231844
1,1705493537.9559987
2,1705493537.988813
3,1705493538.0216422
4,1705493538.0544713
5,1705493538.0872855
6,1705493538.1201146
7,1705493538.152929
8,1705493538.185758
9,1705493538.218617
10,1705493538.251431
11,1705493538.2842603
12,1705493538.3170893
13,1705493538.3499331
14,1705493538.3827477
15,1705493538.415562
16,1705493538.448391
17,1705493538.481235
18,1705493538.5140493
19,1705493538.5468783
20,1705493538.5796926
21,1705493538.6125515
22,1705493538.6453657
23,1705493538.6781948
24,1705493538.711024
25,1705493538.7438679
26,1705493538.776697
27,1705493538.8095262
28,1705493538.8423848
29,1705493538.875229
30,1705493538.908058
31,1705493538.940887
32,1705493538.9737308
33,1705493539.0065749
34,1705493539.039419
35,1705493539.072248
36,1705493539.1050918
37,1705493539.1379359
38,1705493539.170765
39,1705493539.2036088
40,1705493539.236438
41,1705493539.2692819
42,1705493539.302126
43,1705493539.334955
44,1705493539.367784
45,1705493539.400628
46,1705493539.4334867
47,1705493539.466316
48,1705493539.499145
49,1705493539.531989
50,1705493539.564833
51,1705493539.597662
52,1705493539.630491
53,1705493539.6633348
54,1705493539.696194
55,1705493539.7290375
56,1705493539.7618668
57,1705493539.7947106
58,1705493539.8275695
59,1705493539.8604133
60,1705493539.8932424
61,1705493539.9260864
62,1705493539.9589453
63,1705493539.9917743
64,1705493540.0246181
65,1705493540.0574474
66,1705493540.090306
67,1705493540.1231353
68,1705493540.1559644
69,1705493540.1887934
70,1705493540.2216523
71,1705493540.2544813
72,1705493540.2873256
73,1705493540.3201692
74,1705493540.353013
75,1705493540.385842
76,1705493540.4186714
77,1705493540.4515004
78,1705493540.4843295
79,1705493540.517144
80,1705493540.549973
81,1705493540.5827873
82,1705493540.6156163
83,1705493540.6484604
84,1705493540.6812894
85,1705493540.7141037
86,1705493540.7469478
87,1705493540.7797916
88,1705493540.8126206
89,1705493540.84545
90,1705493540.878279
91,1705493540.9111228
92,1705493540.943952
93,1705493540.9767811
94,1705493541.0096102
95,1705493541.042469
96,1705493541.075298
97,1705493541.1081274
98,1705493541.1409564
99,1705493541.173815
100,1705493541.2066293
101,1705493541.2394583
102,1705493541.2722876
103,1705493541.3051317
104,1705493541.3379607
105,1705493541.3707898
106,1705493541.4036188
107,1705493541.4364629
108,1705493541.469292
109,1705493541.502121
110,1705493541.5349505
111,1705493541.567794
112,1705493541.6006231
113,1705493541.6334524
114,1705493541.6662815
115,1705493541.6991107
116,1705493541.7319398
117,1705493541.7647688
118,1705493541.797598
119,1705493541.8304417
120,1705493541.8632858
121,1705493541.8961148
122,1705493541.928944
123,1705493541.9617734
124,1705493541.9946172
125,1705493542.0274463
126,1705493542.0602753
127,1705493542.0931194
128,1705493542.125978
129,1705493542.1587925
130,1705493542.1916215
131,1705493542.2244506
132,1705493542.2572947
133,1705493542.2901235
134,1705493542.3229527
135,1705493542.3557818
136,1705493542.3886256
137,1705493542.4214401
138,1705493542.4542692
139,1705493542.4870982
140,1705493542.5199273
141,1705493542.5527418
142,1705493542.585556
143,1705493542.618385
144,1705493542.6512291
145,1705493542.6840582
146,1705493542.7168725
147,1705493542.7497015
148,1705493542.7825456
149,1705493542.8153746
150,1705493542.8482037
151,1705493542.8810327
152,1705493542.9138472
153,1705493542.9466765
154,1705493542.9795053
155,1705493543.0123346
156,1705493543.0451488
157,1705493543.0780075
158,1705493543.110822
159,1705493543.143651
160,1705493543.1764653
