,0
0,1705493537.9519987
1,1705493537.9848132
2,1705493538.0176423
3,1705493538.0504715
4,1705493538.0832858
5,1705493538.1161149
6,1705493538.148929
7,1705493538.1817434
8,1705493538.2145875
9,1705493538.2474313
10,1705493538.2802606
11,1705493538.3130746
12,1705493538.3459039
13,1705493538.378748
14,1705493538.411577
15,1705493538.4443913
16,1705493538.4772203
17,1705493538.5100644
18,1705493538.5428784
19,1705493538.575693
20,1705493538.608522
21,1705493538.641366
22,1705493538.674195
23,1705493538.707024
24,1705493538.7398534
25,1705493538.7726972
26,1705493538.8055263
27,1705493538.8383553
28,1705493538.8711994
29,1705493538.904058
30,1705493538.9368873
31,1705493538.9697163
32,1705493539.0025454
33,1705493539.0354042
34,1705493539.068248
35,1705493539.101077
36,1705493539.1339064
37,1705493539.166765
38,1705493539.1995943
39,1705493539.2324233
40,1705493539.2652671
41,1705493539.2981112
42,1705493539.3309402
43,1705493539.3637843
44,1705493539.3966134
45,1705493539.4294572
46,1705493539.4623013
47,1705493539.495145
48,1705493539.5279741
49,1705493539.5608182
50,1705493539.593662
51,1705493539.6264913
52,1705493539.6593204
53,1705493539.6921644
54,1705493539.725023
55,1705493539.7578669
56,1705493539.790696
57,1705493539.82354
58,1705493539.8563986
59,1705493539.8892426
60,1705493539.9220717
61,1705493539.9549158
62,1705493539.9877746
63,1705493540.0206037
64,1705493540.0534327
65,1705493540.0862765
66,1705493540.1191354
67,1705493540.1519647
68,1705493540.1847937
69,1705493540.2176228
70,1705493540.2504814
71,1705493540.2833107
72,1705493540.3161545
73,1705493540.3489835
74,1705493540.3818424
75,1705493540.4146717
76,1705493540.4474857
77,1705493540.4803298
78,1705493540.5131588
79,1705493540.545973
80,1705493540.5788023
81,1705493540.6116166
82,1705493540.6444457
83,1705493540.6772895
84,1705493540.7101188
85,1705493540.742933
86,1705493540.7757769
87,1705493540.808621
88,1705493540.84145
89,1705493540.874279
90,1705493540.9071083
91,1705493540.9399524
92,1705493540.9727814
93,1705493541.0056105
94,1705493541.0384395
95,1705493541.0712981
96,1705493541.1041274
97,1705493541.1369565
98,1705493541.1698003
99,1705493541.2026443
100,1705493541.2354734
101,1705493541.268288
102,1705493541.301117
103,1705493541.3339758
104,1705493541.3667898
105,1705493541.399619
106,1705493541.4324481
107,1705493541.465292
108,1705493541.4981213
109,1705493541.5309503
110,1705493541.5637796
111,1705493541.5966234
112,1705493541.6294527
113,1705493541.6622815
114,1705493541.6951108
115,1705493541.7279398
116,1705493541.7607691
117,1705493541.7935982
118,1705493541.8264272
119,1705493541.8592713
120,1705493541.892115
121,1705493541.9249442
122,1705493541.9577732
123,1705493541.9906025
124,1705493542.023461
125,1705493542.0562904
126,1705493542.0891194
127,1705493542.1219485
128,1705493542.1548073
129,1705493542.1876364
130,1705493542.2204506
131,1705493542.2532947
132,1705493542.2861385
133,1705493542.3189678
134,1705493542.351782
135,1705493542.3846111
136,1705493542.4174697
137,1705493542.450284
138,1705493542.4830985
139,1705493542.5159276
140,1705493542.5487716
141,1705493542.5815856
142,1705493542.6144001
143,1705493542.6472147
144,1705493542.6800582
145,1705493542.7128873
146,1705493542.7457018
147,1705493542.7785456
148,1705493542.8113894
149,1705493542.844204
150,1705493542.877033
151,1705493542.909862
152,1705493542.9426913
153,1705493542.9755204
154,1705493543.0083494
155,1705493543.0411637
156,1705493543.073993
157,1705493543.1068368
158,1705493543.1396658
159,1705493543.1724803
160,1705493543.2053094
161,1705493543.2381532
162,1705493543.2709675
163,1705493543.303782
164,1705493543.3365963
165,1705493543.36944
166,1705493543.4022691
167,1705493543.4350836
168,1705493543.4679275
169,1705493543.5007713
170,1705493543.5335858
171,1705493543.5664148
172,1705493543.599244
173,1705493543.6321027
174,1705493543.6649318
175,1705493543.697761
176,1705493543.730605
177,1705493543.763449
178,1705493543.796278
179,1705493543.8290923
180,1705493543.8619213
181,1705493543.8947651
182,1705493543.9275944
183,1705493543.9604235
184,1705493543.9932675
185,1705493544.0261114
186,1705493544.0589406
187,1705493544.0917697
188,1705493544.1246135
189,1705493544.1574426
190,1705493544.1902716
191,1705493544.223101
192,1705493544.25593
193,1705493544.2887738
194,1705493544.3216178
195,1705493544.354447
196,1705493544.3872762
197,1705493544.42012
198,1705493544.4529788
199,1705493544.485808
200,1705493544.518637
201,1705493544.5514662
202,1705493544.5843248
203,1705493544.617154
204,1705493544.6499832
205,1705493544.682827
206,1705493544.7156856
207,1705493544.7485297
208,1705493544.781344
209,1705493544.8141878
210,1705493544.8470318
211,1705493544.8798757
212,1705493544.912705
213,1705493544.9455488
214,1705493544.9783928
215,1705493545.0112221
216,1705493545.0440512
217,1705493545.0768802
218,1705493545.1097388
219,1705493545.1425679
220,1705493545.1753972
221,1705493545.2082412
222,1705493545.2410998
223,1705493545.2739289
224,1705493545.306758
225,1705493545.339602
226,1705493545.372431
227,1705493545.4052603
228,1705493545.4380894
229,1705493545.4709184
230,1705493545.5037622
231,1705493545.536621
232,1705493545.5694501
233,1705493545.6022794
234,1705493545.6351233
235,1705493545.6679819
236,1705493545.7008111
237,1705493545.7336402
238,1705493545.7664692
239,1705493545.7993133
240,1705493545.8321424
241,1705493545.8649716
242,1705493545.8978155
243,1705493545.9306593
244,1705493545.9634883
245,1705493545.9963179
246,1705493546.0291615
247,1705493546.0620203
248,1705493546.0948493
249,1705493546.1276786
250,1705493546.1605225
251,1705493546.193381
252,1705493546.2262104
253,1705493546.2590394
254,1705493546.2918832
255,1705493546.3247273
256,1705493546.3575563
257,1705493546.3903856
258,1705493546.4232295
259,1705493546.4560735
260,1705493546.4889026
261,1705493546.5217316
262,1705493546.5545607
263,1705493546.58739
264,1705493546.620219
265,1705493546.653048
266,1705493546.6858623
267,1705493546.7187064
268,1705493546.7515502
269,1705493546.7843795
270,1705493546.8171937
271,1705493546.8500228
272,1705493546.8828816
273,1705493546.9157107
274,1705493546.948525
275,1705493546.981369
276,1705493547.0142128
277,1705493547.047042
278,1705493547.0798712
279,1705493547.1127002
280,1705493547.1455443
281,1705493547.178373
282,1705493547.2112024
283,1705493547.2440314
284,1705493547.2768903
285,1705493547.3097193
286,1705493547.3425336
287,1705493547.3753626
288,1705493547.4082215
289,1705493547.4410505
290,1705493547.4738648
291,1705493547.506694
292,1705493547.5395527
293,1705493547.572367
294,1705493547.605196
295,1705493547.6380255
296,1705493547.670884
297,1705493547.7037132
298,1705493547.7365274
299,1705493547.7693713
300,1705493547.8021858
301,1705493547.8350148
302,1705493547.8678439
303,1705493547.900673
304,1705493547.933517
305,1705493547.9663758
306,1705493547.9992049
307,1705493548.032034
308,1705493548.064863
309,1705493548.097707
310,1705493548.1305363
311,1705493548.1633654
312,1705493548.1961944
313,1705493548.2290533
314,1705493548.2618823
315,1705493548.2946966
316,1705493548.3275404
317,1705493548.3603845
318,1705493548.3932135
319,1705493548.4260426
320,1705493548.4588716
321,1705493548.4917305
322,1705493548.5245447
323,1705493548.5573738
324,1705493548.590203
325,1705493548.6230469
326,1705493548.6558762
327,1705493548.6887052
328,1705493548.7215343
329,1705493548.754378
330,1705493548.7872074
331,1705493548.8200216
332,1705493548.8528655
333,1705493548.8857098
334,1705493548.9185386
335,1705493548.951353
336,1705493548.984182
337,1705493549.0170112
338,1705493549.0498402
339,1705493549.0826693
340,1705493549.1154985
341,1705493549.1483276
342,1705493549.1811864
343,1705493549.2140155
344,1705493549.2468445
345,1705493549.2796736
346,1705493549.3125324
347,1705493549.3453467
348,1705493549.3781757
349,1705493549.411005
350,1705493549.4438488
351,1705493549.4766634
352,1705493549.5094924
353,1705493549.5423214
354,1705493549.5751653
355,1705493549.6079946
356,1705493549.6408088
357,1705493549.6736379
358,1705493549.706482
359,1705493549.739311
360,1705493549.7721252
361,1705493549.8049395
362,1705493549.8377836
363,1705493549.8706126
364,1705493549.903427
365,1705493549.936256
366,1705493549.9691
367,1705493550.0019143
368,1705493550.0347433
369,1705493550.0675726
370,1705493550.1004164
371,1705493550.1332455
372,1705493550.1660597
373,1705493550.198889
374,1705493550.231718
375,1705493550.264547
376,1705493550.2973764
377,1705493550.3302054
378,1705493550.3630345
379,1705493550.3958786
380,1705493550.4287076
381,1705493550.4615366
382,1705493550.494366
383,1705493550.5272245
384,1705493550.5600538
385,1705493550.5928829
386,1705493550.625712
387,1705493550.6585708
388,1705493550.6913998
389,1705493550.7242289
390,1705493550.7570431
391,1705493550.789902
392,1705493550.822731
393,1705493550.8555455
394,1705493550.8883746
395,1705493550.9212332
396,1705493550.9540474
397,1705493550.9868617
398,1705493551.019691
399,1705493551.052535
