,0
0,1705493537.9019222
1,1705493537.9347343
2,1705493537.9675539
3,1705493538.0003843
4,1705493538.0332077
5,1705493538.0660274
6,1705493538.0988472
7,1705493538.1316621
8,1705493538.1644971
9,1705493538.1973484
10,1705493538.2301712
11,1705493538.262995
12,1705493538.2958226
13,1705493538.3286695
14,1705493538.3614843
15,1705493538.3943043
16,1705493538.4271312
17,1705493538.4599748
18,1705493538.492794
19,1705493538.525609
20,1705493538.5584328
21,1705493538.5912793
22,1705493538.6241066
23,1705493538.6569343
24,1705493538.689761
25,1705493538.7226043
26,1705493538.755435
27,1705493538.7882671
28,1705493538.821113
29,1705493538.8539643
30,1705493538.8867958
31,1705493538.9196222
32,1705493538.952458
33,1705493538.9853163
34,1705493539.0181518
35,1705493539.050983
36,1705493539.0838213
37,1705493539.1166728
38,1705493539.1495032
39,1705493539.1823351
40,1705493539.215178
41,1705493539.2480166
42,1705493539.2808564
43,1705493539.313691
44,1705493539.346522
45,1705493539.3793612
46,1705493539.4122162
47,1705493539.4450471
48,1705493539.4778821
49,1705493539.5107174
50,1705493539.543568
51,1705493539.576395
52,1705493539.6092267
53,1705493539.642069
54,1705493539.6749277
55,1705493539.7077672
56,1705493539.740602
57,1705493539.7734492
58,1705493539.806307
59,1705493539.8391428
60,1705493539.871982
61,1705493539.9048243
62,1705493539.9376829
63,1705493539.9705143
64,1705493540.0033417
65,1705493540.0361812
66,1705493540.0690353
67,1705493540.1018662
68,1705493540.134694
69,1705493540.1675332
70,1705493540.200384
71,1705493540.2332184
72,1705493540.266058
73,1705493540.2988932
74,1705493540.3317442
75,1705493540.364571
76,1705493540.3973942
77,1705493540.4302292
78,1705493540.463057
79,1705493540.4958801
80,1705493540.5286994
81,1705493540.5615232
82,1705493540.594354
83,1705493540.6271932
84,1705493540.66002
85,1705493540.6928403
86,1705493540.7256746
87,1705493540.7585251
88,1705493540.7913532
89,1705493540.8241723
90,1705493540.8570032
91,1705493540.8898501
92,1705493540.9226773
93,1705493540.9555092
94,1705493540.9883442
95,1705493541.0211952
96,1705493541.054026
97,1705493541.0868533
98,1705493541.119692
99,1705493541.152543
100,1705493541.1853662
101,1705493541.218186
102,1705493541.2510214
103,1705493541.283868
104,1705493541.3166907
105,1705493541.3495102
106,1705493541.382346
107,1705493541.4151967
108,1705493541.4480238
109,1705493541.480847
110,1705493541.5136743
111,1705493541.546521
112,1705493541.5793483
113,1705493541.6121762
114,1705493541.6450071
115,1705493541.67783
116,1705493541.7106652
117,1705493541.7434962
118,1705493541.7763278
119,1705493541.8091662
120,1705493541.8420134
121,1705493541.8748453
