,0
0,1705589469.3686292
1,1705589469.4014733
2,1705589469.4343023
3,1705589469.4671612
4,1705589469.4999902
5,1705589469.532834
6,1705589469.5656633
7,1705589469.5985072
8,1705589469.6313362
9,1705589469.6641655
10,1705589469.6970093
11,1705589469.729868
12,1705589469.7626972
13,1705589469.795541
14,1705589469.828385
15,1705589469.861244
16,1705589469.894073
17,1705589469.926902
18,1705589469.959731
19,1705589469.9925752
20,1705589470.0254042
21,1705589470.0582333
22,1705589470.0910625
23,1705589470.1239212
24,1705589470.1567502
25,1705589470.1895795
26,1705589470.2224085
27,1705589470.2552674
28,1705589470.2880964
29,1705589470.3209255
30,1705589470.3537695
31,1705589470.3866134
32,1705589470.4194424
33,1705589470.4522865
34,1705589470.4851155
35,1705589470.5179446
36,1705589470.5507739
37,1705589470.583603
38,1705589470.616432
39,1705589470.649276
40,1705589470.6821346
41,1705589470.714964
42,1705589470.7477782
43,1705589470.780622
44,1705589470.813466
45,1705589470.846295
46,1705589470.8791094
47,1705589470.9119534
48,1705589470.9447973
49,1705589470.9776263
50,1705589471.0104556
51,1705589471.0432847
52,1705589471.0761433
53,1705589471.1089725
54,1705589471.1418018
55,1705589471.1746306
56,1705589471.2074747
57,1705589471.2403038
58,1705589471.2731476
59,1705589471.3059769
60,1705589471.3388207
61,1705589471.37165
62,1705589471.404479
63,1705589471.437308
64,1705589471.470167
65,1705589471.502996
66,1705589471.535825
67,1705589471.568654
68,1705589471.601513
69,1705589471.6343422
70,1705589471.6671565
71,1705589471.7000003
72,1705589471.7328293
73,1705589471.7656438
74,1705589471.7984579
75,1705589471.8312871
76,1705589471.8641162
77,1705589471.896975
78,1705589471.9297895
79,1705589471.9626184
80,1705589471.9954474
81,1705589472.0283062
82,1705589472.0611353
83,1705589472.0939646
84,1705589472.1267936
85,1705589472.1596522
86,1705589472.1924667
87,1705589472.2252958
88,1705589472.258125
89,1705589472.2909837
90,1705589472.323813
91,1705589472.3566418
92,1705589472.389471
93,1705589472.4223297
94,1705589472.455159
95,1705589472.487988
96,1705589472.520817
97,1705589472.553661
98,1705589472.5864754
99,1705589472.6193044
100,1705589472.6521337
101,1705589472.6849923
102,1705589472.7178214
103,1705589472.7506506
104,1705589472.7834797
105,1705589472.8163385
106,1705589472.8491676
107,1705589472.8820114
108,1705589472.9148552
109,1705589472.9476845
110,1705589472.9805136
111,1705589473.0133429
112,1705589473.046172
113,1705589473.0790157
114,1705589473.1118598
115,1705589473.1447039
116,1705589473.1775327
117,1705589473.210362
118,1705589473.2432206
119,1705589473.2760348
120,1705589473.3088639
121,1705589473.3416932
122,1705589473.374537
123,1705589473.4073663
124,1705589473.4401805
125,1705589473.4730096
126,1705589473.5058684
127,1705589473.5386827
128,1705589473.5715117
129,1705589473.6043408
130,1705589473.6371849
131,1705589473.6700287
132,1705589473.7028577
133,1705589473.735687
134,1705589473.7685456
135,1705589473.801375
136,1705589473.834204
137,1705589473.8670478
138,1705589473.8999066
139,1705589473.9327357
140,1705589473.965565
141,1705589473.9984088
142,1705589474.0312676
143,1705589474.0640967
144,1705589474.0969257
145,1705589474.1297698
146,1705589474.1625988
147,1705589474.1954427
148,1705589474.228272
149,1705589474.2611158
150,1705589474.2939599
151,1705589474.3268185
152,1705589474.3596475
