,0
0,1705589468.800389
1,1705589468.833233
2,1705589468.8660622
3,1705589468.898921
4,1705589468.9317648
5,1705589468.964594
6,1705589468.9974232
7,1705589469.0302672
8,1705589469.063096
9,1705589469.0959253
10,1705589469.1287692
11,1705589469.161628
12,1705589469.1944573
13,1705589469.2272863
14,1705589469.260145
15,1705589469.2930038
16,1705589469.3258328
17,1705589469.358662
18,1705589469.3914912
19,1705589469.424335
20,1705589469.457164
21,1705589469.489993
22,1705589469.5228224
23,1705589469.555681
24,1705589469.58851
25,1705589469.6213393
26,1705589469.6541684
27,1705589469.6870272
28,1705589469.7198565
29,1705589469.7526853
30,1705589469.7855294
31,1705589469.8183732
32,1705589469.8512025
33,1705589469.8840318
34,1705589469.9168754
35,1705589469.9497046
36,1705589469.9825337
37,1705589470.0153627
38,1705589470.0481918
39,1705589470.0810359
40,1705589470.1138797
41,1705589470.146709
42,1705589470.1795382
43,1705589470.212367
44,1705589470.245226
45,1705589470.2780402
46,1705589470.3108692
47,1705589470.3436985
48,1705589470.376557
49,1705589470.4093714
50,1705589470.442201
51,1705589470.4750445
52,1705589470.5078883
53,1705589470.5407176
54,1705589470.5735466
55,1705589470.6063757
56,1705589470.6392345
57,1705589470.6720636
58,1705589470.7048929
59,1705589470.737722
60,1705589470.7705805
61,1705589470.8034098
62,1705589470.836224
63,1705589470.869068
64,1705589470.901912
65,1705589470.934741
66,1705589470.96757
67,1705589471.0004141
68,1705589471.033258
69,1705589471.066087
70,1705589471.098916
71,1705589471.1317453
72,1705589471.1645744
73,1705589471.197389
74,1705589471.230218
75,1705589471.2630322
76,1705589471.2958615
77,1705589471.32872
78,1705589471.3615491
79,1705589471.3943634
80,1705589471.4271924
81,1705589471.4600515
82,1705589471.4928803
83,1705589471.5257094
84,1705589471.5585387
85,1705589471.5913975
86,1705589471.6242118
87,1705589471.6570408
88,1705589471.6898699
89,1705589471.7227287
90,1705589471.7555578
91,1705589471.7883868
92,1705589471.821216
93,1705589471.8540747
94,1705589471.886904
95,1705589471.919733
96,1705589471.952562
97,1705589471.9854062
98,1705589472.0182204
99,1705589472.0510497
100,1705589472.0838785
101,1705589472.1167374
102,1705589472.1495664
103,1705589472.1823957
104,1705589472.2152247
105,1705589472.2480834
106,1705589472.2809126
107,1705589472.3137565
108,1705589472.3466005
109,1705589472.3794296
110,1705589472.4122589
111,1705589472.4450877
112,1705589472.477917
113,1705589472.510746
114,1705589472.5436049
115,1705589472.576434
116,1705589472.609263
117,1705589472.642107
118,1705589472.6749513
119,1705589472.70778
120,1705589472.740609
121,1705589472.7734382
122,1705589472.806282
123,1705589472.8390965
124,1705589472.8719256
125,1705589472.9047546
126,1705589472.9375987
127,1705589472.9704278
128,1705589473.0032568
129,1705589473.036086
130,1705589473.06893
131,1705589473.101759
132,1705589473.1345882
133,1705589473.167432
134,1705589473.2002761
135,1705589473.23312
136,1705589473.265949
137,1705589473.298778
138,1705589473.331637
139,1705589473.364466
140,1705589473.39731
141,1705589473.430139
142,1705589473.4629977
143,1705589473.495827
144,1705589473.5286562
145,1705589473.5615
146,1705589473.594344
147,1705589473.627173
148,1705589473.660017
149,1705589473.692846
150,1705589473.72569
151,1705589473.7585487
152,1705589473.7913778
153,1705589473.824207
154,1705589473.857036
155,1705589473.8898947
156,1705589473.922724
157,1705589473.955553
158,1705589473.9883971
159,1705589474.0212557
160,1705589474.0540848
161,1705589474.0869138
162,1705589474.119758
163,1705589474.152602
164,1705589474.185431
165,1705589474.2182748
166,1705589474.251104
167,1705589474.2839627
168,1705589474.316792
169,1705589474.349606
170,1705589474.38245
171,1705589474.4152942
172,1705589474.4481232
173,1705589474.4809523
174,1705589474.5137813
175,1705589474.5466402
176,1705589474.5794544
177,1705589474.6122835
178,1705589474.6451275
179,1705589474.6779861
180,1705589474.7108152
181,1705589474.7436445
182,1705589474.7764883
183,1705589474.8093176
184,1705589474.8421466
185,1705589474.8749757
186,1705589474.9078195
187,1705589474.9406636
188,1705589474.9735076
189,1705589475.0063515
190,1705589475.0391805
191,1705589475.0720246
192,1705589475.1048832
193,1705589475.1377122
194,1705589475.1705415
195,1705589475.2033854
196,1705589475.2362294
197,1705589475.2690732
198,1705589475.3019025
199,1705589475.3347464
200,1705589475.367605
201,1705589475.400449
202,1705589475.433278
203,1705589475.466122
204,1705589475.4989808
205,1705589475.53181
206,1705589475.5646539
207,1705589475.5974977
208,1705589475.6303566
209,1705589475.6631856
210,1705589475.6960297
211,1705589475.7288587
212,1705589475.7617176
213,1705589475.7945466
214,1705589475.8273757
215,1705589475.860205
216,1705589475.8930635
217,1705589475.9258926
218,1705589475.9587367
219,1705589475.9915805
220,1705589476.0244095
221,1705589476.0572536
222,1705589476.0900826
223,1705589476.122912
224,1705589476.155741
225,1705589476.1885996
226,1705589476.2214289
227,1705589476.2542727
228,1705589476.2871165
229,1705589476.3199754
230,1705589476.3528044
231,1705589476.3856337
232,1705589476.4184775
233,1705589476.4513361
234,1705589476.4841802
235,1705589476.5170093
236,1705589476.549853
237,1705589476.582712
238,1705589476.615556
239,1705589476.648385
240,1705589476.6812289
241,1705589476.714088
242,1705589476.7469316
243,1705589476.7797756
244,1705589476.8126194
245,1705589476.8454783
246,1705589476.8783073
247,1705589476.9111514
248,1705589476.9439952
249,1705589476.976839
250,1705589477.0096831
251,1705589477.0425124
252,1705589477.0753562
253,1705589477.1082296
254,1705589477.141059
255,1705589477.1739028
256,1705589477.2067466
257,1705589477.239591
258,1705589477.2724197
259,1705589477.3052638
260,1705589477.3381076
261,1705589477.3709366
262,1705589477.4037955
263,1705589477.4366393
264,1705589477.4694686
265,1705589477.5022976
266,1705589477.5351562
267,1705589477.5679855
268,1705589477.6008294
269,1705589477.6336734
270,1705589477.666532
271,1705589477.6993613
272,1705589477.7321904
273,1705589477.7650344
274,1705589477.797893
275,1705589477.830722
276,1705589477.8635662
277,1705589477.89641
278,1705589477.9292538
279,1705589477.962098
280,1705589477.994927
281,1705589478.027771
282,1705589478.0606296
283,1705589478.0934737
284,1705589478.1263027
285,1705589478.1591465
286,1705589478.1920054
287,1705589478.2248344
288,1705589478.2576635
289,1705589478.2905076
290,1705589478.3233662
291,1705589478.3561954
292,1705589478.3890245
293,1705589478.4218833
294,1705589478.4547124
295,1705589478.4875562
296,1705589478.5204003
297,1705589478.5532296
298,1705589478.5860734
299,1705589478.618932
300,1705589478.6517758
301,1705589478.6846051
302,1705589478.717449
303,1705589478.7503226
304,1705589478.7831519
305,1705589478.8159957
306,1705589478.8488395
307,1705589478.8816984
308,1705589478.9145274
309,1705589478.9473712
310,1705589478.9802153
311,1705589479.013074
312,1705589479.045918
313,1705589479.0787618
314,1705589479.111606
315,1705589479.1444793
316,1705589479.1773086
317,1705589479.2101376
318,1705589479.2429814
319,1705589479.2758403
320,1705589479.3086693
321,1705589479.3415134
322,1705589479.3743424
323,1705589479.407216
324,1705589479.440045
325,1705589479.4728892
326,1705589479.505733
327,1705589479.5385916
328,1705589479.571421
329,1705589479.6042502
330,1705589479.6370938
331,1705589479.669923
332,1705589479.702767
333,1705589479.735611
334,1705589479.76844
335,1705589479.8012838
336,1705589479.8341427
337,1705589479.8669865
338,1705589479.8998306
339,1705589479.9326894
340,1705589479.9655628
341,1705589479.998407
342,1705589480.0312507
343,1705589480.0640948
344,1705589480.0969682
345,1705589480.1298122
346,1705589480.162656
347,1705589480.1955
348,1705589480.2283735
349,1705589480.2612174
350,1705589480.2940614
351,1705589480.3269203
352,1705589480.3597937
353,1705589480.3926377
354,1705589480.4254816
355,1705589480.458326
356,1705589480.491199
357,1705589480.524043
358,1705589480.556887
359,1705589480.589731
360,1705589480.6225896
