,0
0,1705589469.1107104
1,1705589469.1435394
2,1705589469.1763835
3,1705589469.209242
4,1705589469.2420712
5,1705589469.2749004
6,1705589469.3077443
7,1705589469.3405883
8,1705589469.3734174
9,1705589469.4062464
10,1705589469.4390905
11,1705589469.471949
12,1705589469.5047784
13,1705589469.5376074
14,1705589469.5704513
15,1705589469.60331
16,1705589469.6361392
17,1705589469.6689682
18,1705589469.7018123
19,1705589469.734656
20,1705589469.7674854
21,1705589469.8003144
22,1705589469.8331435
23,1705589469.8659873
24,1705589469.8988166
25,1705589469.9316456
26,1705589469.9644895
27,1705589469.9973483
28,1705589470.0301774
29,1705589470.0630064
30,1705589470.0958357
31,1705589470.1286943
32,1705589470.1615236
33,1705589470.1943526
34,1705589470.2271817
35,1705589470.260011
36,1705589470.29284
37,1705589470.325669
38,1705589470.358513
39,1705589470.391357
40,1705589470.424201
41,1705589470.45703
42,1705589470.489859
43,1705589470.5226882
44,1705589470.5555322
45,1705589470.5883613
46,1705589470.6211905
47,1705589470.6540196
48,1705589470.6868782
49,1705589470.7196927
50,1705589470.7525218
51,1705589470.7853656
52,1705589470.81821
53,1705589470.8510387
54,1705589470.8838677
55,1705589470.916697
56,1705589470.9495556
57,1705589470.9823847
58,1705589471.015214
59,1705589471.0480433
60,1705589471.0809016
61,1705589471.113731
62,1705589471.1465452
63,1705589471.179389
64,1705589471.212233
65,1705589471.245062
66,1705589471.2778914
67,1705589471.3107352
68,1705589471.343579
69,1705589471.3764083
70,1705589471.4092374
71,1705589471.4420664
72,1705589471.4748957
73,1705589471.50771
74,1705589471.540539
75,1705589471.5733535
76,1705589471.6061826
77,1705589471.6390412
78,1705589471.6718702
79,1705589471.7046847
80,1705589471.7375138
81,1705589471.7703726
82,1705589471.8032017
83,1705589471.8360307
84,1705589471.8688598
85,1705589471.9017186
86,1705589471.9345329
87,1705589471.967362
88,1705589472.0001912
89,1705589472.0330498
90,1705589472.065879
91,1705589472.0987082
92,1705589472.1315372
93,1705589472.1643958
94,1705589472.1972253
95,1705589472.2300541
96,1705589472.2628834
97,1705589472.2957273
98,1705589472.3285415
99,1705589472.3613706
100,1705589472.3941998
101,1705589472.4270585
102,1705589472.4598875
103,1705589472.4927168
104,1705589472.5255606
105,1705589472.5584047
106,1705589472.5912485
107,1705589472.6240776
108,1705589472.6569216
109,1705589472.6897507
110,1705589472.7225797
111,1705589472.755409
112,1705589472.788238
113,1705589472.821082
114,1705589472.8539407
115,1705589472.88677
116,1705589472.919599
117,1705589472.952428
118,1705589472.985287
119,1705589473.0181012
120,1705589473.0509303
121,1705589473.0837593
122,1705589473.1166031
123,1705589473.1494324
124,1705589473.1822467
125,1705589473.2150757
126,1705589473.2479346
127,1705589473.2807488
128,1705589473.313578
129,1705589473.346407
130,1705589473.379251
131,1705589473.412095
132,1705589473.444924
133,1705589473.4777534
134,1705589473.510612
135,1705589473.543441
136,1705589473.57627
137,1705589473.6091142
138,1705589473.641958
139,1705589473.674802
140,1705589473.707631
141,1705589473.740475
142,1705589473.773319
143,1705589473.806148
144,1705589473.838992
145,1705589473.8718212
146,1705589473.904665
147,1705589473.937509
148,1705589473.970338
149,1705589474.003182
150,1705589474.036026
151,1705589474.0688848
152,1705589474.101714
153,1705589474.1345282
154,1705589474.167372
155,1705589474.2002308
156,1705589474.23306
157,1705589474.265889
158,1705589474.2987182
159,1705589474.331577
160,1705589474.364421
161,1705589474.39725
162,1705589474.430079
163,1705589474.462938
164,1705589474.4957669
165,1705589474.5285966
166,1705589474.56144
167,1705589474.5942988
168,1705589474.627113
169,1705589474.6599424
170,1705589474.6927862
171,1705589474.72563
172,1705589474.7584593
173,1705589474.7912881
174,1705589474.8241174
175,1705589474.8569613
176,1705589474.8897903
177,1705589474.9226196
178,1705589474.9554634
179,1705589474.9883223
180,1705589475.0211513
181,1705589475.0539806
182,1705589475.0868244
183,1705589475.1196535
184,1705589475.1524825
185,1705589475.1853118
186,1705589475.2181556
187,1705589475.2509847
188,1705589475.2838435
189,1705589475.3166876
190,1705589475.3495018
191,1705589475.3823605
192,1705589475.4152193
193,1705589475.4480484
194,1705589475.4808774
195,1705589475.5137067
196,1705589475.5465653
197,1705589475.5794094
