,0
0,1705589468.552082
1,1705589468.5849178
2,1705589468.6177568
3,1705589468.6506112
4,1705589468.6834462
5,1705589468.7162778
6,1705589468.7491162
7,1705589468.7819633
8,1705589468.8147874
9,1705589468.847618
10,1705589468.8804572
11,1705589468.913316
12,1705589468.9461432
13,1705589468.9789822
14,1705589469.0118282
15,1705589469.0446832
16,1705589469.0775142
17,1705589469.1103463
18,1705589469.1431808
19,1705589469.176028
20,1705589469.2088513
21,1705589469.241678
22,1705589469.2745132
23,1705589469.3073642
24,1705589469.3401914
25,1705589469.3730187
26,1705589469.405858
27,1705589469.4387121
28,1705589469.4715402
29,1705589469.5043712
30,1705589469.5372143
31,1705589469.5700612
32,1705589469.6028917
33,1705589469.6357229
34,1705589469.6685548
35,1705589469.7013853
36,1705589469.734213
37,1705589469.767044
38,1705589469.7998753
39,1705589469.832718
40,1705589469.8655732
41,1705589469.8983998
42,1705589469.931223
43,1705589469.9640543
44,1705589469.9969058
45,1705589470.0297282
46,1705589470.062556
47,1705589470.0953908
48,1705589470.128238
49,1705589470.161061
50,1705589470.1938882
51,1705589470.2267232
52,1705589470.2595787
53,1705589470.2924094
54,1705589470.3252332
55,1705589470.3580642
56,1705589470.3909192
57,1705589470.423746
58,1705589470.4565768
59,1705589470.4894123
60,1705589470.5222633
61,1705589470.5550902
62,1705589470.5879133
63,1705589470.6207492
64,1705589470.6536033
65,1705589470.6864312
66,1705589470.7192547
67,1705589470.7520933
68,1705589470.7849479
69,1705589470.8177755
70,1705589470.8505943
71,1705589470.8834262
72,1705589470.9162533
73,1705589470.9490728
74,1705589470.9818962
75,1705589471.0147188
76,1705589471.0475502
77,1705589471.0803971
78,1705589471.113228
79,1705589471.1460521
80,1705589471.1788793
81,1705589471.2117302
82,1705589471.2445612
83,1705589471.2773888
84,1705589471.3102272
85,1705589471.3430738
86,1705589471.3758974
87,1705589471.4087207
88,1705589471.441556
89,1705589471.4744103
90,1705589471.5072422
91,1705589471.540065
92,1705589471.5729008
93,1705589471.605751
94,1705589471.6385787
95,1705589471.6714091
96,1705589471.704241
97,1705589471.7370842
98,1705589471.7699032
99,1705589471.802727
100,1705589471.8355613
101,1705589471.868412
102,1705589471.9012432
103,1705589471.9340713
104,1705589471.9669104
105,1705589471.9997642
106,1705589472.032596
107,1705589472.0654309
108,1705589472.0982742
109,1705589472.1311052
110,1705589472.1639323
111,1705589472.196763
112,1705589472.2295902
113,1705589472.2624333
114,1705589472.2952883
115,1705589472.3281193
116,1705589472.3609474
117,1705589472.3937824
118,1705589472.4266326
119,1705589472.45946
120,1705589472.4922833
121,1705589472.5251102
122,1705589472.5579572
123,1705589472.5907803
124,1705589472.6236043
125,1705589472.6564353
126,1705589472.689282
127,1705589472.7221053
128,1705589472.7549288
129,1705589472.7877598
130,1705589472.8206074
131,1705589472.8534381
132,1705589472.8862696
133,1705589472.9191086
134,1705589472.9519632
135,1705589472.9847941
136,1705589473.0176213
137,1705589473.05046
138,1705589473.0833156
139,1705589473.1161501
140,1705589473.1489813
141,1705589473.1818209
142,1705589473.2146757
143,1705589473.2475023
144,1705589473.2803373
145,1705589473.3131766
146,1705589473.3460162
147,1705589473.378855
148,1705589473.4116898
149,1705589473.444525
150,1705589473.4773679
151,1705589473.5102262
152,1705589473.5430577
153,1705589473.5758812
154,1705589473.6087203
155,1705589473.6415744
156,1705589473.6744022
157,1705589473.7072291
158,1705589473.7400723
159,1705589473.772927
160,1705589473.8057623
161,1705589473.8385932
162,1705589473.8714323
163,1705589473.9042833
164,1705589473.9371142
165,1705589473.9699452
166,1705589474.0027807
167,1705589474.0356388
168,1705589474.0684628
169,1705589474.101289
170,1705589474.1341243
171,1705589474.166972
172,1705589474.1997993
173,1705589474.232626
174,1705589474.2654607
175,1705589474.298308
176,1705589474.3311357
177,1705589474.3639662
178,1705589474.396802
179,1705589474.4296603
180,1705589474.4624913
181,1705589474.4953227
182,1705589474.5281613
183,1705589474.5609932
184,1705589474.5938282
185,1705589474.6266592
186,1705589474.6594899
187,1705589474.692333
188,1705589474.7251883
189,1705589474.7580228
190,1705589474.7908504
191,1705589474.8236933
192,1705589474.8565524
193,1705589474.8893867
194,1705589474.9222183
195,1705589474.9550529
196,1705589474.987912
197,1705589475.0207434
198,1705589475.0535743
199,1705589475.086421
200,1705589475.1192837
201,1705589475.1521182
202,1705589475.1849537
203,1705589475.2177923
204,1705589475.2506552
205,1705589475.2834864
206,1705589475.3163214
207,1705589475.349164
208,1705589475.3820267
209,1705589475.4148622
210,1705589475.4476976
211,1705589475.4805322
212,1705589475.5133872
213,1705589475.5462143
214,1705589475.5790453
215,1705589475.61188
216,1705589475.6447358
217,1705589475.6775665
218,1705589475.7104053
219,1705589475.7432442
220,1705589475.7760832
221,1705589475.8089185
222,1705589475.8417459
223,1705589475.8745773
224,1705589475.9074202
225,1705589475.9402752
226,1705589475.9731054
227,1705589476.0059414
228,1705589476.038784
229,1705589476.0716422
230,1705589476.1044703
231,1705589476.1373012
232,1705589476.170148
233,1705589476.2030108
234,1705589476.2358458
235,1705589476.2686808
236,1705589476.3015232
237,1705589476.3343856
238,1705589476.3672214
239,1705589476.4000561
240,1705589476.4329028
241,1705589476.465762
242,1705589476.4986012
243,1705589476.53144
244,1705589476.5642903
245,1705589476.597149
246,1705589476.6299844
247,1705589476.6628156
248,1705589476.6956587
249,1705589476.7285132
250,1705589476.761348
251,1705589476.794187
252,1705589476.827034
253,1705589476.8598967
254,1705589476.892735
255,1705589476.9255667
256,1705589476.9584134
257,1705589476.991257
258,1705589477.0240958
259,1705589477.0569344
260,1705589477.0897691
261,1705589477.1226125
262,1705589477.1554706
263,1705589477.1883023
264,1705589477.2211332
265,1705589477.2539723
266,1705589477.286823
267,1705589477.3196619
268,1705589477.3524933
269,1705589477.3853362
270,1705589477.4181948
271,1705589477.4510303
272,1705589477.4838653
273,1705589477.5167048
274,1705589477.5495589
275,1705589477.5823944
276,1705589477.6152291
277,1705589477.6480722
278,1705589477.6809266
279,1705589477.7137623
280,1705589477.7465973
281,1705589477.779436
282,1705589477.812302
283,1705589477.8451374
284,1705589477.8779724
285,1705589477.9108152
286,1705589477.94367
287,1705589477.9765012
288,1705589478.009337
289,1705589478.0421793
290,1705589478.075034
291,1705589478.1078649
292,1705589478.1406963
293,1705589478.1735432
294,1705589478.206382
295,1705589478.2392254
296,1705589478.2720604
297,1705589478.3048952
298,1705589478.3377423
299,1705589478.3706052
300,1705589478.4034402
301,1705589478.4362793
302,1705589478.4691215
303,1705589478.5019841
